Category,City,Country/Region,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Number of Records,Profit,Profit Ratio,Profit Ratio (copy),Quantity,Sales
Office Supplies,Chicago,United States,Laurel Elliston,Fellowes,5/27/2016,US-2016-117058,60653,Fellowes Presentation Covers for Comb Binding Machines,Central,Consumer,5/30/2016,First Class,Illinois,Binders,80%,1,-$31,-175%,-175%,6,$17
Office Supplies,Houston,United States,Nathan Cano,Fellowes,11/19/2019,CA-2019-131254,77095,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Central,Consumer,11/21/2019,First Class,Texas,Binders,80%,1,"-$2,288",-150%,-150%,6,"$1,525"
Office Supplies,Rockford,United States,Guy Thornton,GBC,11/26/2019,CA-2019-130526,61107,GBC Premium Transparent Covers with Diagonal Lined Pattern,Central,Consumer,11/29/2019,First Class,Illinois,Binders,80%,1,-$54,-160%,-160%,8,$34
Office Supplies,Dallas,United States,Keith Herrera,GBC,8/15/2016,CA-2016-138023,75081,GBC Durable Plastic Covers,Central,Consumer,8/18/2016,First Class,Texas,Binders,80%,1,-$53,-170%,-170%,8,$31
Office Supplies,Dallas,United States,Tom Prescott,Angle-D,8/28/2018,CA-2018-145303,75081,"Angle-D Binders with Locking Rings, Label Holders",Central,Consumer,8/31/2018,First Class,Texas,Binders,80%,1,-$22,-165%,-165%,9,$13
Office Supplies,New York City,United States,Mitch Webber,Euro Pro,9/20/2016,CA-2016-125997,10011,Euro-Pro Shark Turbo Vacuum,East,Consumer,9/23/2016,First Class,New York,Appliances,0%,1,$8,26%,26%,1,$31
Office Supplies,Watertown,United States,Justin MacKendrick,Holmes,9/2/2016,CA-2016-157721,13601,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",East,Consumer,9/5/2016,First Class,New York,Appliances,0%,1,$9,45%,45%,1,$20
Office Supplies,Perth Amboy,United States,Nick Radford,GBC,10/17/2018,CA-2018-152688,08861,GBC ProClick 150 Presentation Binding System,East,Consumer,10/20/2018,First Class,New Jersey,Binders,0%,1,$149,47%,47%,1,$316
Office Supplies,Clinton,United States,Dave Kipp,Wirebound,2/14/2018,CA-2018-134334,20735,"Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 200 Sets per Book",East,Consumer,2/15/2018,First Class,Maryland,Paper,0%,1,$2,45%,45%,1,$5
Office Supplies,New York City,United States,Nat Carroll,Xerox,11/24/2018,CA-2018-124485,10035,Xerox 217,East,Consumer,11/26/2018,First Class,New York,Paper,0%,1,$3,48%,48%,1,$6
Office Supplies,Andover,United States,Pamela Stobb,Other,3/9/2018,CA-2018-153269,01810,"Personal Folder Holder, Ebony",East,Consumer,3/12/2018,First Class,Massachusetts,Storage,0%,1,$3,30%,30%,1,$11
Office Supplies,Fairfield,United States,Shahid Collister,Hoover,3/13/2019,CA-2019-153843,06824,Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup,East,Consumer,3/15/2019,First Class,Connecticut,Appliances,0%,1,$121,26%,26%,2,$465
Office Supplies,New York City,United States,Edward Nazzal,Eureka,5/30/2017,CA-2017-103177,10009,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",East,Consumer,6/1/2017,First Class,New York,Appliances,0%,1,$45,28%,28%,2,$160
Office Supplies,Rochester,United States,Bryan Mills,Sanford,6/6/2016,CA-2016-133270,14609,Sanford Liquid Accent Highlighters,East,Consumer,6/9/2016,First Class,New York,Art,0%,1,$5,37%,37%,2,$13
Office Supplies,Fairfield,United States,Shahid Collister,GBC,3/13/2019,CA-2019-153843,06824,GBC VeloBind Cover Sets,East,Consumer,3/15/2019,First Class,Connecticut,Binders,0%,1,$15,50%,50%,2,$31
Office Supplies,Baltimore,United States,Jill Matthias,GBC,4/14/2018,CA-2018-166625,21215,GBC ProClick Spines for 32-Hole Punch,East,Consumer,4/17/2018,First Class,Maryland,Binders,0%,1,$12,47%,47%,2,$25
Office Supplies,Manchester,United States,Neoma Murray,Avery,4/30/2019,US-2019-107636,06040,Avery 5,East,Consumer,5/2/2019,First Class,Connecticut,Labels,0%,1,$3,49%,49%,2,$6
Office Supplies,Waterbury,United States,Arthur Gainer,Avery,5/17/2018,CA-2018-158435,06708,Avery 519,East,Consumer,5/18/2018,First Class,Connecticut,Labels,0%,1,$7,47%,47%,2,$15
Office Supplies,New York City,United States,Christina Anderson,Xerox,10/12/2019,CA-2019-169607,10024,Xerox 1952,East,Consumer,10/15/2019,First Class,New York,Paper,0%,1,$5,47%,47%,2,$10
Office Supplies,New York City,United States,Maxwell Schwartz,Easy-staple paper,10/20/2017,CA-2017-164623,10035,Easy-staple paper,East,Consumer,10/22/2017,First Class,New York,Paper,0%,1,$12,47%,47%,2,$25
Office Supplies,New York City,United States,Nat Carroll,Xerox,11/24/2018,CA-2018-124485,10035,Xerox 196,East,Consumer,11/26/2018,First Class,New York,Paper,0%,1,$6,49%,49%,2,$12
Office Supplies,Rochester,United States,Luke Weiss,Xerox,11/7/2018,CA-2018-132997,14609,Xerox 23,East,Consumer,11/9/2018,First Class,New York,Paper,0%,1,$6,48%,48%,2,$13
Office Supplies,Providence,United States,Allen Armold,Xerox,9/7/2019,US-2019-169488,02908,Xerox 191,East,Consumer,9/9/2019,First Class,Rhode Island,Paper,0%,1,$19,47%,47%,2,$40
Office Supplies,New York City,United States,Becky Martin,Fellowes,12/4/2018,CA-2018-126004,10024,Fellowes Econo/Stor Drawers,East,Consumer,12/5/2018,First Class,New York,Storage,0%,1,$12,6%,6%,2,$194
Office Supplies,New York City,United States,Naresj Patel,Tennsco,8/9/2017,CA-2017-131338,10024,"Tennsco Lockers, Gray",East,Consumer,8/12/2017,First Class,New York,Storage,0%,1,$3,7%,7%,2,$42
Office Supplies,New York City,United States,Resi Pölking,Other,4/7/2017,CA-2017-166492,10035,X-Rack File for Hanging Folders,East,Consumer,4/10/2017,First Class,New York,Storage,0%,1,$6,26%,26%,2,$23
Office Supplies,Providence,United States,Clytie Kelty,Other,9/19/2018,CA-2018-158610,02908,Home/Office Personal File Carts,East,Consumer,9/22/2018,First Class,Rhode Island,Storage,0%,1,$17,25%,25%,2,$70
Office Supplies,Lowell,United States,Kunst Miller,Staple remover,12/2/2019,CA-2019-167395,01852,Staple remover,East,Consumer,12/4/2019,First Class,Massachusetts,Supplies,0%,1,$0,4%,4%,2,$4
Office Supplies,New York City,United States,Dan Lawera,Other,2/27/2018,CA-2018-102456,10011,"Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",East,Consumer,3/1/2018,First Class,New York,Appliances,0%,1,$50,29%,29%,3,$171
Office Supplies,New York City,United States,Toby Braunhardt,Holmes,6/21/2016,CA-2016-130624,10024,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",East,Consumer,6/24/2016,First Class,New York,Appliances,0%,1,$27,45%,45%,3,$60
Office Supplies,New York City,United States,John Lucas,Holmes,4/25/2017,CA-2017-112557,10035,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",East,Consumer,4/28/2017,First Class,New York,Appliances,0%,1,$91,44%,44%,3,$206
Office Supplies,Dover,United States,Thomas Thornton,Newell,9/23/2016,CA-2016-163650,19901,Newell 351,East,Consumer,9/25/2016,First Class,Delaware,Art,0%,1,$3,29%,29%,3,$10
Office Supplies,Clinton,United States,Dave Kipp,Other,2/14/2018,CA-2018-134334,20735,Economy #2 Pencils,East,Consumer,2/15/2018,First Class,Maryland,Art,0%,1,$2,26%,26%,3,$8
Office Supplies,Everett,United States,Xylona Preis,Stanley,11/17/2019,CA-2019-138163,02149,Stanley Bostitch Contemporary Electric Pencil Sharpeners,East,Consumer,11/20/2019,First Class,Massachusetts,Art,0%,1,$14,28%,28%,3,$51
Office Supplies,East Orange,United States,Cassandra Brandow,Newell,11/27/2018,CA-2018-117583,07017,Newell 324,East,Consumer,11/30/2018,First Class,New Jersey,Art,0%,1,$10,28%,28%,3,$35
Office Supplies,New York City,United States,Clay Ludtke,Sanford,9/2/2016,CA-2016-127936,10009,SANFORD Major Accent Highlighters,East,Consumer,9/4/2016,First Class,New York,Art,0%,1,$8,38%,38%,3,$21
Office Supplies,New York City,United States,Carlos Daly,Boston,11/20/2019,CA-2019-111556,10035,Boston KS Multi-Size Manual Pencil Sharpener,East,Consumer,11/22/2019,First Class,New York,Art,0%,1,$19,28%,28%,3,$69
Office Supplies,Fairfield,United States,Christine Sundaresam,Other,8/15/2016,CA-2016-141005,06824,Premium Transparent Presentation Covers by GBC,East,Consumer,8/18/2016,First Class,Connecticut,Binders,0%,1,$30,48%,48%,3,$63
Office Supplies,Dover,United States,Thomas Thornton,Ibico,9/23/2016,CA-2016-163650,19901,Ibico Covers for Plastic or Wire Binding Elements,East,Consumer,9/25/2016,First Class,Delaware,Binders,0%,1,$16,45%,45%,3,$35
Office Supplies,New York City,United States,Naresj Patel,Acco,8/9/2017,CA-2017-131338,10024,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",East,Consumer,8/12/2017,First Class,New York,Fasteners,0%,1,$5,47%,47%,3,$11
Office Supplies,New York City,United States,Michael Chen,Other,12/29/2019,US-2019-102638,10035,Ideal Clamps,East,Consumer,12/31/2019,First Class,New York,Fasteners,0%,1,$3,49%,49%,3,$6
Office Supplies,New York City,United States,Carlos Soltero,Other,12/5/2019,US-2019-126053,10024,Self-Adhesive Removable Labels,East,Consumer,12/8/2019,First Class,New York,Labels,0%,1,$5,48%,48%,3,$9
Office Supplies,Andover,United States,Pamela Stobb,Xerox,3/9/2018,CA-2018-153269,01810,Xerox 193,East,Consumer,3/12/2018,First Class,Massachusetts,Paper,0%,1,$9,49%,49%,3,$18
Office Supplies,New York City,United States,Katherine Ducich,Easy-staple paper,9/2/2016,US-2016-138828,10009,Easy-staple paper,East,Consumer,9/3/2016,First Class,New York,Paper,0%,1,$7,47%,47%,3,$15
Office Supplies,New York City,United States,Naresj Patel,Xerox,8/9/2017,CA-2017-131338,10024,Xerox 1886,East,Consumer,8/12/2017,First Class,New York,Paper,0%,1,$69,48%,48%,3,$144
Office Supplies,New York City,United States,Toby Braunhardt,Message Book,6/21/2016,CA-2016-130624,10024,"Message Book, Phone, Wirebound Standard Line Memo, 2 3/4"" X 5""",East,Consumer,6/24/2016,First Class,New York,Paper,0%,1,$9,46%,46%,3,$20
Office Supplies,New York City,United States,Maria Bertelson,Tenex,11/14/2018,CA-2018-118759,10009,"Tenex Personal Project File with Scoop Front Design, Black",East,Consumer,11/17/2018,First Class,New York,Storage,0%,1,$11,26%,26%,3,$40
Office Supplies,New York City,United States,Becky Martin,Carina,12/4/2018,CA-2018-126004,10024,Carina Media Storage Towers in Natural & Black,East,Consumer,12/5/2018,First Class,New York,Storage,0%,1,$4,2%,2%,3,$183
Office Supplies,Rochester,United States,Luke Weiss,Eldon,11/7/2018,CA-2018-132997,14609,"Eldon Base for stackable storage shelf, platinum",East,Consumer,11/9/2018,First Class,New York,Storage,0%,1,$6,5%,5%,3,$117
Office Supplies,Clifton,United States,Sandra Flanagan,Kensington,9/10/2016,CA-2016-113383,07011,Kensington 6 Outlet Guardian Standard Surge Protector,East,Consumer,9/13/2016,First Class,New Jersey,Appliances,0%,1,$22,27%,27%,4,$82
Office Supplies,Andover,United States,Pamela Stobb,GBC,3/9/2018,CA-2018-153269,01810,GBC Binding covers,East,Consumer,3/12/2018,First Class,Massachusetts,Binders,0%,1,$23,45%,45%,4,$52
Office Supplies,Lakewood,United States,Cindy Chapman,Other,11/7/2018,US-2018-139388,08701,Rubber Band Ball,East,Consumer,11/9/2018,First Class,New Jersey,Fasteners,0%,1,$0,2%,2%,4,$15
Office Supplies,New York City,United States,Toby Carlisle,Avery,5/6/2019,CA-2019-167668,10035,Avery 505,East,Consumer,5/8/2019,First Class,New York,Labels,0%,1,$30,50%,50%,4,$59
Office Supplies,Fairfield,United States,Shahid Collister,Strathmore,3/13/2019,CA-2019-153843,06824,Strathmore Photo Mount Cards,East,Consumer,3/15/2019,First Class,Connecticut,Paper,0%,1,$12,46%,46%,4,$27
Office Supplies,Clinton,United States,Michael Nguyen,HP,2/10/2019,CA-2019-123659,20735,HP Office Recycled Paper (20Lb. and 87 Bright),East,Consumer,2/13/2019,First Class,Maryland,Paper,0%,1,$11,49%,49%,4,$23
Office Supplies,East Orange,United States,Cassandra Brandow,Xerox,11/27/2018,CA-2018-117583,07017,Xerox 215,East,Consumer,11/30/2018,First Class,New Jersey,Paper,0%,1,$12,48%,48%,4,$26
Office Supplies,New York City,United States,Becky Martin,Easy-staple paper,12/4/2018,CA-2018-126004,10024,Easy-staple paper,East,Consumer,12/5/2018,First Class,New York,Paper,0%,1,$20,49%,49%,4,$41
Office Supplies,New York City,United States,Resi Pölking,Xerox,4/7/2017,CA-2017-166492,10035,Xerox 192,East,Consumer,4/10/2017,First Class,New York,Paper,0%,1,$12,48%,48%,4,$26
Office Supplies,New York City,United States,Craig Reiter,Avanti,10/13/2019,CA-2019-116519,10009,Avanti 4.4 Cu. Ft. Refrigerator,East,Consumer,10/15/2019,First Class,New York,Appliances,0%,1,$253,28%,28%,5,$905
Office Supplies,Meriden,United States,Raymond Messe,Newell,6/21/2016,CA-2016-141278,06450,Newell 341,East,Consumer,6/24/2016,First Class,Connecticut,Art,0%,1,$6,29%,29%,5,$21
Office Supplies,New York City,United States,Katherine Ducich,Newell,9/2/2016,US-2016-138828,10009,Newell 324,East,Consumer,9/3/2016,First Class,New York,Art,0%,1,$16,28%,28%,5,$58
Office Supplies,East Orange,United States,Cassandra Brandow,GBC,11/27/2018,CA-2018-117583,07017,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",East,Consumer,11/30/2018,First Class,New Jersey,Binders,0%,1,$38,48%,48%,5,$80
Office Supplies,Baltimore,United States,Bart Folk,Adams,9/12/2019,CA-2019-140676,21215,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",East,Consumer,9/15/2019,First Class,Maryland,Paper,0%,1,$20,50%,50%,5,$40
Office Supplies,Baltimore,United States,Bart Folk,Xerox,9/12/2019,CA-2019-140676,21215,Xerox 1939,East,Consumer,9/15/2019,First Class,Maryland,Paper,0%,1,$46,48%,48%,5,$95
Office Supplies,East Orange,United States,Cassandra Brandow,Xerox,11/27/2018,CA-2018-117583,07017,Xerox 1945,East,Consumer,11/30/2018,First Class,New Jersey,Paper,0%,1,$100,49%,49%,5,$205
Office Supplies,Providence,United States,Allen Armold,Other,9/7/2019,US-2019-169488,02908,Avoid Verbal Orders Carbonless Minifold Book,East,Consumer,9/9/2019,First Class,Rhode Island,Paper,0%,1,$8,46%,46%,5,$17
Office Supplies,New York City,United States,Tamara Dahlen,Fiskars,4/23/2019,CA-2019-104010,10011,Fiskars Softgrip Scissors,East,Consumer,4/25/2019,First Class,New York,Supplies,0%,1,$15,28%,28%,5,$55
Office Supplies,Lawrence,United States,Alejandro Grove,GBC,9/20/2017,CA-2017-153738,01841,GBC Standard Plastic Binding Systems' Combs,East,Consumer,9/22/2017,First Class,Massachusetts,Binders,0%,1,$17,45%,45%,6,$38
Office Supplies,New York City,United States,Mitch Webber,Avery,9/20/2016,CA-2016-125997,10011,Avery 485,East,Consumer,9/23/2016,First Class,New York,Labels,0%,1,$35,47%,47%,6,$75
Office Supplies,Baltimore,United States,Bart Folk,Fellowes,9/12/2019,CA-2019-140676,21215,Fellowes Basic Home/Office Series Surge Protectors,East,Consumer,9/15/2019,First Class,Maryland,Appliances,0%,1,$26,29%,29%,7,$91
Office Supplies,Lowell,United States,Kunst Miller,Belkin,12/2/2019,CA-2019-167395,01852,Belkin 8 Outlet Surge Protector,East,Consumer,12/4/2019,First Class,Massachusetts,Appliances,0%,1,$80,28%,28%,7,$287
Office Supplies,New York City,United States,Carlos Daly,Xerox,11/20/2019,CA-2019-111556,10035,Xerox 1968,East,Consumer,11/22/2019,First Class,New York,Paper,0%,1,$22,48%,48%,7,$47
Office Supplies,Everett,United States,Toby Carlisle,Other,10/14/2016,CA-2016-151330,02149,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",East,Consumer,10/17/2016,First Class,Massachusetts,Storage,0%,1,$22,28%,28%,7,$79
Office Supplies,Waterbury,United States,Arthur Gainer,Acme,5/17/2018,CA-2018-158435,06708,Acme Forged Steel Scissors with Black Enamel Handles,East,Consumer,5/18/2018,First Class,Connecticut,Supplies,0%,1,$19,29%,29%,7,$65
Office Supplies,Philadelphia,United States,Robert Waldorf,Belkin,1/15/2019,CA-2019-167752,19134,Belkin F9M820V08 8 Outlet Surge,East,Consumer,1/18/2019,First Class,Pennsylvania,Appliances,20%,1,$4,11%,11%,1,$34
Office Supplies,Columbus,United States,Seth Vernon,Eldon,9/18/2018,CA-2018-157511,43229,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",East,Consumer,9/20/2018,First Class,Ohio,Art,20%,1,$0,14%,14%,1,$3
Office Supplies,New York City,United States,Becky Martin,Other,12/4/2018,CA-2018-126004,10024,Peel & Stick Add-On Corner Pockets,East,Consumer,12/5/2018,First Class,New York,Binders,20%,1,$1,35%,35%,1,$2
Office Supplies,Philadelphia,United States,Jay Kimmel,Hoover,12/19/2017,CA-2017-127453,19143,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,East,Consumer,12/20/2017,First Class,Pennsylvania,Appliances,20%,1,$0,13%,13%,2,$4
Office Supplies,Philadelphia,United States,Bryan Davis,Other,1/29/2019,CA-2019-145338,19120,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",East,Consumer,2/1/2019,First Class,Pennsylvania,Art,20%,1,$0,10%,10%,2,$5
Office Supplies,New York City,United States,Resi Pölking,Ibico,8/19/2018,CA-2018-101980,10009,Ibico EB-19 Dual Function Manual Binding System,East,Consumer,8/20/2018,First Class,New York,Binders,20%,1,$90,33%,33%,2,$277
Office Supplies,New York City,United States,Alan Hwang,Avery,12/7/2017,CA-2017-165050,10024,Avery Durable Slant Ring Binders With Label Holder,East,Consumer,12/9/2017,First Class,New York,Binders,20%,1,$2,35%,35%,2,$7
Office Supplies,New York City,United States,Naresj Patel,GBC,8/9/2017,CA-2017-131338,10024,GBC Ibimaster 500 Manual ProClick Binding System,East,Consumer,8/12/2017,First Class,New York,Binders,20%,1,$457,38%,38%,2,"$1,218"
Office Supplies,Rochester,United States,Luke Weiss,Ibico,11/7/2018,CA-2018-132997,14609,Ibico EB-19 Dual Function Manual Binding System,East,Consumer,11/9/2018,First Class,New York,Binders,20%,1,$90,33%,33%,2,$277
Office Supplies,Newark,United States,Susan MacKendrick,Avery,5/3/2018,CA-2018-129280,43055,Avery 496,East,Consumer,5/5/2018,First Class,Ohio,Labels,20%,1,$2,35%,35%,2,$6
Office Supplies,Lancaster,United States,Bobby Elias,Xerox,2/7/2018,CA-2018-161662,43130,Xerox 1912,East,Consumer,2/9/2018,First Class,Ohio,Paper,20%,1,$11,35%,35%,2,$30
Office Supplies,Lancaster,United States,Max Jones,Xerox,4/23/2018,CA-2018-124149,43130,Xerox 1942,East,Consumer,4/26/2018,First Class,Ohio,Paper,20%,1,$29,38%,38%,2,$78
Office Supplies,Parma,United States,Anna Chung,Xerox,10/15/2016,US-2016-122021,44134,Xerox 1897,East,Consumer,10/17/2016,First Class,Ohio,Paper,20%,1,$3,36%,36%,2,$8
Office Supplies,Philadelphia,United States,Anthony Witt,Xerox,12/10/2019,CA-2019-143798,19140,Xerox 210,East,Consumer,12/12/2019,First Class,Pennsylvania,Paper,20%,1,$4,35%,35%,2,$10
Office Supplies,Philadelphia,United States,Cindy Chapman,Xerox,11/21/2019,CA-2019-100811,19143,Xerox 1972,East,Consumer,11/24/2019,First Class,Pennsylvania,Paper,20%,1,$3,31%,31%,2,$8
Office Supplies,Akron,United States,John Murray,SAFCO,5/16/2019,CA-2019-166576,44312,"SAFCO Commercial Wire Shelving, Black",East,Consumer,5/18/2019,First Class,Ohio,Storage,20%,1,-$55,-25%,-25%,2,$221
Office Supplies,Cleveland,United States,Joe Elijah,Other,8/25/2019,US-2019-105697,44105,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",East,Consumer,8/27/2019,First Class,Ohio,Storage,20%,1,$2,8%,8%,2,$26
Office Supplies,Bethlehem,United States,Olvera Toch,Hoover,7/28/2018,CA-2018-107783,18018,"Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs, 2/Pk",East,Consumer,7/29/2018,First Class,Pennsylvania,Appliances,20%,1,$1,8%,8%,3,$9
Office Supplies,Philadelphia,United States,Jay Kimmel,Avanti,12/19/2017,CA-2017-127453,19143,Avanti 4.4 Cu. Ft. Refrigerator,East,Consumer,12/20/2017,First Class,Pennsylvania,Appliances,20%,1,$43,10%,10%,3,$434
Office Supplies,New York City,United States,Lena Creighton,Fellowes,6/16/2017,US-2017-163825,10009,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,East,Consumer,6/19/2017,First Class,New York,Binders,20%,1,"$1,144",38%,38%,3,"$3,050"
Office Supplies,Philadelphia,United States,Arthur Gainer,Avery,12/19/2017,CA-2017-115399,19134,Avery 474,East,Consumer,12/22/2017,First Class,Pennsylvania,Labels,20%,1,$3,36%,36%,3,$7
Office Supplies,Cincinnati,United States,Allen Goldenen,Southworth,11/20/2018,CA-2018-109820,45231,Southworth 25% Cotton Granite Paper & Envelopes,East,Consumer,11/22/2018,First Class,Ohio,Paper,20%,1,$5,33%,33%,3,$16
Office Supplies,Philadelphia,United States,Rob Lucas,Xerox,7/7/2019,US-2019-169551,19120,Xerox 216,East,Consumer,7/9/2019,First Class,Pennsylvania,Paper,20%,1,$5,35%,35%,3,$16
Office Supplies,Philadelphia,United States,Ralph Arnett,Other,12/1/2019,CA-2019-127313,19120,Personal File Boxes with Fold-Down Carry Handle,East,Consumer,12/4/2019,First Class,Pennsylvania,Storage,20%,1,$2,6%,6%,3,$37
Office Supplies,Philadelphia,United States,Rob Lucas,Other,7/7/2019,US-2019-169551,19120,Plastic Stacking Crates & Casters,East,Consumer,7/9/2019,First Class,Pennsylvania,Storage,20%,1,$1,8%,8%,3,$13
Office Supplies,Philadelphia,United States,Ed Jacobs,Fellowes,8/13/2017,CA-2017-169656,19143,Fellowes High-Stak Drawer Files,East,Consumer,8/16/2017,First Class,Pennsylvania,Storage,20%,1,$16,4%,4%,3,$423
Office Supplies,Fairfield,United States,Tracy Blumstein,Fellowes,10/21/2016,CA-2016-142587,45014,Fellowes Superior 10 Outlet Split Surge Protector,East,Consumer,10/22/2016,First Class,Ohio,Appliances,20%,1,$14,11%,11%,4,$122
Office Supplies,Philadelphia,United States,Jay Kimmel,Fellowes,12/19/2017,CA-2017-127453,19143,Fellowes Advanced 8 Outlet Surge Suppressor with Phone/Fax Protection,East,Consumer,12/20/2017,First Class,Pennsylvania,Appliances,20%,1,$8,9%,9%,4,$89
Office Supplies,Columbus,United States,Joy Smith,Zebra,2/27/2016,CA-2016-156545,43229,Zebra Zazzle Fluorescent Highlighters,East,Consumer,3/3/2016,First Class,Ohio,Art,20%,1,$3,18%,18%,4,$19
Office Supplies,Philadelphia,United States,Max Jones,BIC,12/8/2019,US-2019-131961,19140,BIC Brite Liner Highlighters,East,Consumer,12/11/2019,First Class,Pennsylvania,Art,20%,1,$4,28%,28%,4,$13
Office Supplies,New York City,United States,Nat Carroll,Acco,11/24/2018,CA-2018-124485,10035,"Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2"" X 11""",East,Consumer,11/26/2018,First Class,New York,Binders,20%,1,$6,35%,35%,4,$17
Office Supplies,Lancaster,United States,Duane Benoit,Tennsco,12/31/2018,US-2018-105830,43130,Tennsco Industrial Shelving,East,Consumer,1/2/2019,First Class,Ohio,Storage,20%,1,-$35,-23%,-23%,4,$157
Office Supplies,Philadelphia,United States,Cindy Chapman,Other,11/21/2019,CA-2019-100811,19143,Recycled Eldon Regeneration Jumbo File,East,Consumer,11/24/2019,First Class,Pennsylvania,Storage,20%,1,$4,10%,10%,4,$39
Office Supplies,Lakewood,United States,Christy Brittain,Acme,11/5/2017,US-2017-136259,44107,Acme Titanium Bonded Scissors,East,Consumer,11/8/2017,First Class,Ohio,Supplies,20%,1,$2,8%,8%,4,$27
Office Supplies,Philadelphia,United States,Clytie Kelty,Newell,7/11/2017,CA-2017-142237,19134,Newell 333,East,Consumer,7/13/2017,First Class,Pennsylvania,Art,20%,1,$1,8%,8%,5,$11
Office Supplies,New York City,United States,Resi Pölking,Cardinal,8/19/2018,CA-2018-101980,10009,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",East,Consumer,8/20/2018,First Class,New York,Binders,20%,1,$9,36%,36%,5,$25
Office Supplies,New York City,United States,Alan Hwang,Pressboard,12/7/2017,CA-2017-165050,10024,Pressboard Data Binders by Wilson Jones,East,Consumer,12/9/2017,First Class,New York,Binders,20%,1,$7,34%,34%,5,$21
Office Supplies,Fairfield,United States,Ted Butterfield,Avery,8/3/2019,CA-2019-163566,45014,Avery 476,East,Consumer,8/6/2019,First Class,Ohio,Labels,20%,1,$5,33%,33%,5,$17
Office Supplies,Lancaster,United States,Max Jones,Eldon,4/23/2018,CA-2018-124149,43130,Eldon Fold 'N Roll Cart System,East,Consumer,4/26/2018,First Class,Ohio,Storage,20%,1,$6,11%,11%,5,$56
Office Supplies,Newark,United States,Susan MacKendrick,Tennsco,5/3/2018,CA-2018-129280,43055,Tennsco Industrial Shelving,East,Consumer,5/5/2018,First Class,Ohio,Storage,20%,1,-$44,-23%,-23%,5,$196
Office Supplies,Philadelphia,United States,Frank Olsen,Acme,9/22/2017,US-2017-115343,19143,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",East,Consumer,9/25/2017,First Class,Pennsylvania,Supplies,20%,1,$6,11%,11%,5,$56
Office Supplies,New York City,United States,Resi Pölking,Other,8/19/2018,CA-2018-101980,10009,Surelock Post Binders,East,Consumer,8/20/2018,First Class,New York,Binders,20%,1,$55,38%,38%,6,$147
Office Supplies,Toledo,United States,Joy Daniels,Avery,9/9/2019,CA-2019-152198,43615,Avery 501,East,Consumer,9/10/2019,First Class,Ohio,Labels,20%,1,$6,34%,34%,6,$18
Office Supplies,Philadelphia,United States,Ted Trevino,Avery,4/5/2017,CA-2017-119942,19120,Avery 499,East,Consumer,4/7/2017,First Class,Pennsylvania,Labels,20%,1,$8,33%,33%,6,$24
Office Supplies,Dublin,United States,Fred Harton,Xerox,6/1/2019,CA-2019-106831,43017,Xerox 1924,East,Consumer,6/3/2019,First Class,Ohio,Paper,20%,1,$10,36%,36%,6,$28
Office Supplies,Lancaster,United States,Max Jones,Other,4/23/2018,CA-2018-124149,43130,Embossed Ink Jet Note Cards,East,Consumer,4/26/2018,First Class,Ohio,Paper,20%,1,$38,35%,35%,6,$108
Office Supplies,Troy,United States,Seth Vernon,Xerox,11/10/2018,US-2018-136581,45373,Xerox 227,East,Consumer,11/12/2018,First Class,Ohio,Paper,20%,1,$11,35%,35%,6,$31
Office Supplies,Philadelphia,United States,Robert Waldorf,Honeywell,1/15/2019,CA-2019-167752,19134,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,East,Consumer,1/18/2019,First Class,Pennsylvania,Appliances,20%,1,$313,16%,16%,8,"$1,924"
Office Supplies,Philadelphia,United States,Joy Bell-,Avery,6/10/2018,CA-2018-121993,19140,Avery 487,East,Consumer,6/12/2018,First Class,Pennsylvania,Labels,20%,1,$8,34%,34%,8,$24
